102|10213|선릉|2호선|0220|K215
104|10427|선바위|4호선|1450|435
1601|160109|선부|서해선|4812|849
109|10916|선유도|9호선|4112|912
201|20139|선정릉|수인분당선|1850|K214
109|10927|선정릉|9호선|4127|927
301|30105|선학|인천선|3128|I128
101|10170|성균관대|1호선|1711|P153
1101|110109|성복|신분당선|4316|D16
102|10204|성수|2호선|0211|211
1501|150103|성신여대입구|우이신설경전철|0418|418
104|10410|성신여대입구|4호선|4711|951
101|10183|성환|1호선|1725|P166
101|10173|세류|1호선|1715|P156
101|10175|세마|1호선|1717|P158
203|20310|세종대왕릉|경강선|1510|K419
301|30125|센트럴파크|인천선|3137|I137
201|20147|소래포구|수인분당선|1880|K261
1601|160101|소사|서해선|4804|841
101|10138|소사|1호선|1814|147
1601|160102|소새울|서해선|4805|842
101|10195|소요산|1호선|1916|100
1501|150112|솔밭공원|우이신설경전철|4702|942
1501|150106|솔샘|우이신설경전철|4708|948
101|10141|송내|1호선|1805|150
201|20153|송도|수인분당선|1886|K267
301|30130|송도달빛축제공원|인천선|3139|I139
202|20214|송산|의정부경전철|4614|U124
105|10504|송정|5호선|2514|513
101|10179|송탄|1호선|1721|P162
108|10807|송파|8호선|2817|816
109|10934|송파나루|9호선|4134|934
201|20104|수내|수인분당선|1856|K229
107|10703|수락산|7호선|2713|711
104|10437|수리산|4호선|1763|445
1001|100116|수색|경의선|1267|K317
201|20121|수서|수인분당선|1030|349
103|10340|수서|3호선|0339|K221
201|20130|수원|수인분당선|1846|P155
101|10172|수원|1호선|1713|K245
201|20131|수원시청|수인분당선|1871|K243
104|10406|수유|4호선|0414|414
1101|110108|수지구청|신분당선|4315|D15
108|10816|수진|8호선|2826|826
104|10419|숙대입구|4호선|0427|427
107|10730|숭실대입구|7호선|2740|738
201|20155|숭의|수인분당선|1889|K270
302|30218|시민공원|인천2호선|3219|I219
1601|160111|시우|서해선|4814|701
102|10252|시청|2호선|0201|132
101|10123|시청|1호선|0151|201
1301|130108|시청∙용인대|용인경전철|4509|Y117
1601|160107|시흥능곡|서해선|4810|847
1601|160103|시흥대야|서해선|4806|843
1601|160106|시흥시청|서해선|4809|846
201|20132|신갈|수인분당선|1864|K236
105|10529|신금호|5호선|2539|538
105|10554|신길|5호선|2526|138
101|10129|신길|1호선|1032|525
201|20159|신길온천|수인분당선|1835|454
104|10446|신길온천|4호선|1760|K256
1201|120120|신내|경춘선|1311|P122
106|10648|신내|6호선|2649|648
1101|110116|신논현|신분당선|4306|M4306
109|10917|신논현|9호선|4125|925
102|10202|신답|2호선|0245|211-2
106|10643|신당|6호선|2636|206
102|10246|신당|2호선|0206|635
102|10224|신대방|2호선|0231|231
107|10733|신대방삼거리|7호선|2743|741
102|10255|신도림|2호선|0234|234
101|10131|신도림|1호선|1007|140
203|20307|신둔도예촌|경강선|1507|K416
1801|180108|신림|신림선|4408|M4408
102|10223|신림|2호선|0230|230
109|10918|신목동|9호선|4111|911
109|10919|신반포|9호선|4122|922
109|10920|신방화|9호선|4104|904
1101|110115|신사|신분당선|4304|M4304
103|10328|신사|3호선|0327|337
1501|150101|신설동|우이신설경전철|4713|126
102|10253|신설동|2호선|0246|211-4
101|10118|신설동|1호선|0156|953
301|30104|신연수|인천선|3129|I129
104|10421|신용산|4호선|0429|429
1001|100148|신원|경의선|1213|K131
101|10113|신이문|1호선|1017|121
105|10510|신정|5호선|2520|519
102|10230|신정네거리|2호선|0249|234-3
107|10755|신중동|7호선|3756|754
101|10156|신창|1호선|1408|P177
1601|160104|신천|서해선|4807|844
1001|100119|신촌|경의선|1252|240
102|10237|신촌|2호선|0240|P312
201|20156|신포|수인분당선|1890|K271
107|10735|신풍|7호선|2745|743
1601|160105|신현|서해선|4808|845
108|10815|신흥|8호선|2825|825
104|10405|쌍문|4호선|0413|413
101|10157|쌍용(나사렛대)|1호선|1402|P171
101|10158|아산|1호선|1403|P172
302|30219|아시아드경기장|인천2호선|3209|I209
1001|100149|아신|경의선|1215|K133
105|10536|아차산|5호선|2546|545
102|10239|아현|2호선|0242|242
103|10319|안국|3호선|0318|328
201|20160|안산|수인분당선|1834|453
104|10445|안산|4호선|1759|K255
106|10609|안암|6호선|2640|639
101|10165|안양|1호선|1706|P147
108|10801|암사|8호선|2811|810
103|10327|압구정|3호선|0326|336
201|20138|압구정로데오|수인분당선|1848|K212
105|10521|애오개|5호선|2531|530
1001|100125|야당|경의선|1277|K328
201|20166|야목|수인분당선|1876|K249
201|20106|야탑|수인분당선|1854|K226
106|10644|약수|6호선|2634|333
103|10324|약수|3호선|0323|633
1001|100135|양수|경의선|1212|K130
1001|100138|양원|경의선|1204|K122
1101|110102|양재|신분당선|4308|342
103|10333|양재|3호선|0332|D8
1101|110103|양재시민의숲|신분당선|4309|D9
1001|100141|양정|경의선|1207|K125
101|10188|양주|1호선|1909|107
102|10229|양천구청|2호선|0248|234-2
109|10921|양천향교|9호선|4106|906
1701|170101|양촌|김포도시철도|4920|690
1001|100150|양평|경의선|1217|K135
105|10513|양평|5호선|2523|522
202|20213|어룡|의정부경전철|4613|U123
107|10718|어린이대공원|7호선|2728|726
1301|130104|어정|용인경전철|4504|Y113
201|20167|어천|수인분당선|1875|K248
109|10926|언주|9호선|4126|926
105|10518|여의나루|5호선|2528|527
109|10922|여의도|9호선|4115|526
105|10517|여의도|5호선|2527|915
203|20311|여주|경강선|1511|K420
101|10137|역곡|1호선|1803|146
102|10214|역삼|2호선|0221|221
106|10634|역촌|6호선|2612|611
201|20152|연수|수인분당선|1885|K266
106|10645|연신내|6호선|2615|321
103|10312|연신내|3호선|0311|614
109|10923|염창|9호선|4110|910
101|10130|영등포|1호선|1006|139
105|10555|영등포구청|5호선|2524|236
102|10233|영등포구청|2호선|0236|523
105|10515|영등포시장|5호선|2525|524
901|90112|영종|공항철도|4217|A072
201|20135|영통|수인분당선|1868|K240
301|30108|예술회관|인천선|3125|I125
105|10548|오금|5호선|2558|352
103|10347|오금|3호선|0342|P552
104|10459|오남|4호선|0406|406
101|10135|오류동|1호선|1802|144
201|20101|오리|수인분당선|1859|K232
105|10512|오목교|5호선|2522|521
201|20168|오목천|수인분당선|1874|K247
1001|100152|오빈|경의선|1216|K134
101|10177|오산|1호선|1719|P160
101|10176|오산대|1호선|1718|P159
201|20144|오이도|수인분당선|1800|456
104|10448|오이도|4호선|1762|K258
1001|100131|옥수|경의선|1011|335
103|10342|옥수|3호선|0325|K114
107|10749|온수|7호선|2752|145
101|10136|온수|1호선|1821|750
101|10159|온양온천|1호선|1407|P176
109|10936|올림픽공원|9호선|4136|P550
105|10546|올림픽공원|5호선|2556|936
302|30220|완정|인천2호선|3205|I205
302|30221|왕길|인천2호선|3202|I202
1001|100133|왕십리|경의선|1013|208
201|20136|왕십리|수인분당선|102C|K116
105|10556|왕십리|5호선|2541|K210
102|10254|왕십리|2호선|0208|540
101|10114|외대앞|1호선|1016|122
102|10203|용답|2호선|0244|211-1
102|10251|용두|2호선|0250|211-3
107|10715|용마산|7호선|2725|723
1001|100153|용문|경의선|1219|K137
1001|100146|용산|경의선|1003|135
101|10126|용산|1호선|1003|K110
303|30306|용유|자기부상|00|
105|10507|우장산|5호선|2517|516
1001|100147|운길산|경의선|1211|K129
1301|130111|운동장∙송담대|용인경전철|4512|Y120
901|90105|운서|공항철도|4211|A08
1701|170105|운양|김포도시철도|4924|694
302|30222|운연|인천2호선|3227|I227
1001|100106|운정|경의선|1278|K329
303|30305|워터파크|자기부상|00|
103|10308|원당|3호선|1951|316
1001|100151|원덕|경의선|1218|K136
1601|160112|원시|서해선|4815|702
301|30103|원인재|인천선|3130|K265
201|20151|원인재|수인분당선|1884|I130
103|10348|원흥|3호선|1948|317
101|10110|월계|1호선|1020|118
106|10607|월곡|6호선|2642|641
201|20146|월곶|수인분당선|1879|K260
106|10629|월드컵경기장|6호선|2620|619
1001|100103|월롱|경의선|1282|K333
103|10343|을지로3가|3호선|0320|203
102|10243|을지로3가|2호선|0203|330
105|10557|을지로4가|5호선|2536|204
102|10244|을지로4가|2호선|0204|535
102|10242|을지로입구|2호선|0202|202
1001|100132|응봉|경의선|1012|K115
106|10633|응암|6호선|2611|610
101|10169|의왕|1호선|1710|P152
101|10102|의정부|1호선|1906|110
202|20205|의정부시청|의정부경전철|4605|U114
202|20207|의정부중앙|의정부경전철|4607|U117
102|10238|이대|2호선|0241|241
203|20302|이매|경강선|1502|K411
201|20113|이매|수인분당선|1860|K227
203|20308|이천|경강선|1508|K417
1001|100128|이촌|경의선|1008|430
104|10454|이촌|4호선|0430|K111
106|10618|이태원|6호선|2631|630
104|10432|인덕원|4호선|1455|440
201|20157|인천|수인분당선|1891|161
101|10152|인천|1호선|1812|K272
302|30223|인천가좌|인천2호선|3215|I215
901|90106|인천공항1터미널|공항철도|4213|A10
303|30301|인천공항1터미널|자기부상|00|
901|90113|인천공항2터미널|공항철도|4215|A11
201|20148|인천논현|수인분당선|1881|K262
302|30224|인천대공원|인천2호선|3226|I226
301|30126|인천대입구|인천선|3136|I136
302|30225|인천시청|인천2호선|3221|I124
301|30109|인천시청|인천선|3124|I221
301|30107|인천터미널|인천선|3126|I126
201|20154|인하대|수인분당선|1888|K269
1001|100108|일산|경의선|1275|K326
103|10339|일원|3호선|0338|348
1001|100156|임진강|경의선|1285|K336
301|30120|임학|인천선|3113|I113
301|30117|작전|인천선|3116|I116
108|10818|잠실|8호선|2815|216
102|10209|잠실|2호선|0216|814
102|10208|잠실나루|2호선|0215|215
102|10210|잠실새내|2호선|0217|217
103|10329|잠원|3호선|0328|338
1701|170104|장기|김포도시철도|4923|693
303|30302|장기주차장|자기부상|00|
107|10732|장승배기|7호선|2742|740
107|10701|장암|7호선|2711|709
108|10810|장지|8호선|2820|819
105|10534|장한평|5호선|2544|543
1301|130115|전대∙에버랜드|용인경전철|4517|Y126
1501|150104|정릉|우이신설경전철|4710|950
103|10303|정발산|3호선|1956|311
104|10431|정부과천청사|4호선|1454|439
201|20158|정왕|수인분당선|1761|455
104|10447|정왕|4호선|1836|K257
1101|110106|정자|신분당선|1857|K230
201|20103|정자|수인분당선|4312|D12
101|10117|제기동|1호선|0157|125
101|10149|제물포|1호선|1810|158
101|10122|종각|1호선|0152|131
105|10558|종로3가|5호선|2535|130
103|10344|종로3가|3호선|0319|329
101|10121|종로3가|1호선|0153|534
101|10120|종로5가|1호선|0154|129
109|10930|종합운동장|9호선|4130|218
102|10211|종합운동장|2호선|0218|930
302|30226|주안|인천2호선|3218|156
101|10147|주안|1호선|1809|I218
302|30227|주안국가산단|인천2호선|3217|I217
103|10302|주엽|3호선|1957|310
201|20116|죽전|수인분당선|1862|K233
107|10706|중계|7호선|2716|714
107|10716|중곡|7호선|2726|724
101|10140|중동|1호선|1822|149
1201|120122|중랑|경춘선|1308|K119
1001|100136|중랑|경의선|1201|P119
201|20163|중앙|수인분당선|1831|450
104|10442|중앙|4호선|1756|K252
109|10938|중앙보훈병원|9호선|4138|938
107|10711|중화|7호선|2721|719
109|10924|증미|9호선|4108|908
106|10631|증산|6호선|2618|617
1301|130103|지석|용인경전철|4503|Y112
301|30127|지식정보단지|인천선|3135|I135
103|10310|지축|3호선|0309|319
1001|100155|지평|경의선|1220|K138
101|10191|지행|1호선|1912|104
101|10184|직산|1호선|1726|P167
101|10178|진위|1호선|1720|P161
104|10460|진접|4호선|0405|405
104|10455|창동|4호선|0412|412
101|10108|창동|1호선|1022|116
106|10611|창신|6호선|2638|637
1201|120121|천마산|경춘선|1318|P129
101|10186|천안|1호선|1728|P169
107|10741|천왕|7호선|2751|749
108|10819|천호|8호선|2812|547
105|10538|천호|5호선|2548|811
107|10739|철산|7호선|2749|747
1101|110104|청계산입구|신분당선|4310|D10
106|10646|청구|6호선|2635|537
105|10528|청구|5호선|2538|634
107|10721|청담|7호선|2731|729
901|90111|청라국제도시|공항철도|4210|A071
1201|120124|청량리|경춘선|1306|124
1001|100134|청량리|경의선|1014|K117
201|20143|청량리|수인분당선|1845|P117
101|10116|청량리|1호선|0158|K209
201|20142|청명|수인분당선|1867|K239
1201|120115|청평|경춘선|1321|P132
1301|130106|초당|용인경전철|4506|Y115
203|20305|초월|경강선|1505|K414
1601|160110|초지|서해선|4813|452
201|20161|초지|수인분당선|1833|K254
104|10457|초지|4호선|1758|850
107|10750|총신대입구(이수)|7호선|2738|736
