1호선|1호선|101|도봉|12704556|3767921|127.04556124463507|37.679214372177654|subway|metro|10106|
1호선|1호선|101|도봉산|12704610|3768923|127.04610048891|37.689231879023|subway|metro|10105|
경의선|경의선|1001|도심|12722279|3757952|127.22278822328104|37.57952039851498|subway|metro|100143|
1호선|1호선|101|도원|12664248|3746824|126.64248254727|37.468235741174|subway|metro|10150|
1호선|1호선|101|도화|12666851|3746599|126.66850837948|37.465988376426|subway|metro|10148|
3호선|3호선|103|독립문|12695785|3757449|126.95785075887|37.574485059852|subway|metro|10317|
6호선|6호선|106|독바위|12693300|3761844|126.93299610067|37.618440705131|subway|metro|10636|
1호선|1호선|101|독산|12688922|3746651|126.88922240383|37.466507589563|subway|metro|10161|
인천2호선|인천2호선|302|독정|12667616|3758519|126.67616193630015|37.58519017201001|subway|metro|30209|
6호선|6호선|106|돌곶이|12705645|3761053|127.05644816033|37.610527706541|subway|metro|10605|
1호선|1호선|101|동대문|12701012|3757129|127.01011887827|37.571291323803|subway|metro|10119|
2호선|2호선|102|동대문역사문화공원|12700739|3756500|127.00739399385213|37.565002510453674|subway|metro|10245|
3호선|3호선|103|동대입구|12700528|3755883|127.00528129658|37.558832757118|subway|metro|10323|
1호선|1호선|101|동두천|12705479|3792766|127.05479211687839|37.927663557008316|subway|metro|10194|
1호선|1호선|101|동두천중앙|12705624|3790170|127.05624103089667|37.90169771089602|subway|metro|10192|
1호선|1호선|101|동묘앞|12701559|3757254|127.01559319183245|37.572537414181774|subway|metro|10153|
인천1호선|인천1호선|301|동수|12671844|3748529|126.71843693180472|37.485286689561576|subway|metro|30112|
1호선|1호선|101|동암|12670285|3747072|126.70285321476099|37.470716418022874|subway|metro|10145|
의정부경전철|의정부경전철|202|동오|12705692|3774521|127.05691805248737|37.74520687562203|subway|metro|20208|
1호선|1호선|101|동인천|12663247|3747547|126.63247084617|37.475470957595|subway|metro|10151|
4호선|4호선|104|동작|12697902|3750300|126.97902244853084|37.50300413196613|subway|metro|10423|
신분당선|신분당선|1101|동천|12710285|3733811|127.10284823395584|37.33810873754048|subway|metro|110107|
5호선|5호선|105|둔촌동|12713630|3752775|127.13629599766|37.527747261749|subway|metro|10545|
9호선|9호선|109|둔촌오륜|12713865|3751941|127.13865206962898|37.51940803726135|subway|metro|10937|
9호선|9호선|109|등촌|12686549|3755060|126.86548991201|37.550602980798|subway|metro|10912|
6호선|6호선|106|디지털미디어시티|12689959|3757677|126.8995894583493|37.57676870774593|subway|metro|10630|
2호선|2호선|102|뚝섬|12704736|3754712|127.04736480935|37.54712239199|subway|metro|10250|
